,id_str,text,screen_name,search_term,search_term_group,source,ibm_watson_sentiment,sentiment
5440,1451018116088094720,"Pq tem gente falando quem casou e quem não casou, sendo que no ultimo episódio o cabeça de nois todos estava visita… https://t.co/q4RDVRqU1G",kaiquevlima,netflix,netflix,Twitter for Android,-0.6833670000000001,-1
3162,1450832264145817600,Vou ter q assinar o globoplay só pra assistir verdades secretas af,Gois99Leticia,globoplay,globoplay,Twitter for iPhone,-0.8918729999999999,-1
2602,1451010603661811712,PAREM DE ASSISTIR VERDADES SECRETAS O GLOBOPLAY É PIXULÉ E TA CAINDOOOOOOO,w_petun,globoplay,globoplay,Twitter for iPhone,-0.9241229999999999,-1
5341,1451156901656420352,enfim vendo death note antes de tirarem da netflix depois da matéria que rolou kkkkkk,arigoncalvex,netflix,netflix,Twitter Web App,-0.6525310000000001,-1
7659,1449492320236277760,@nanacaligari @Netflix_Sandman @e3echo @lovegwendoline @neilhimself Cali me mandou e eu NÃO ESTOU NENHUM POUCO BEM,n_ins,netflix,netflix,Twitter for iPhone,-0.728079,-1
5776,1450869475868389376,"resmunguei horrores qd anunciaram rebelde da netflix, qd saiu o trailer assisti mil vezes pq eu gostei e agr saiu a… https://t.co/Q5rZI7u8O5",_alinii,netflix,netflix,Twitter for iPhone,-0.760904,-1
2328,1451259478817509376,"Hahahahah... Acabei de maratonar #VerdadeSecretas2 todos os capítulos disponíveis na @globoplay , pq sou dessas...… https://t.co/sNvRCVmrbO",Renatak_Soares,globoplay,globoplay,Twitter for Android,0.8417,1
4884,1451522726473179136,"é muito bonitinho quando a minha avó faz isso
outro dia nós colocamos netflix na tv ai ela anotou o passo a passo n… https://t.co/W5HABPfCDQ",WhySoYoo,netflix,netflix,Twitter for Android,0.8937709999999999,1
2703,1450998166791274496,Eu acho que a cada bloco de 10 capítulos liberados o @globoplay tem que fazer uma live com o primeiro pés gente ass… https://t.co/5EfgBaB2qi,BrunoSilvano,globoplay,globoplay,Twitter for iPhone,0.591225,1
2987,1450963360288280576,Assistir Verdades Secretas 2 - Segunda Temporada Todos Os Episódios Online #VerdadesSecretas2  #Globoplay… https://t.co/F5KzBjnpLM,NitroNewsBrasil,globoplay,globoplay,Twitter Web App,0.810308,1
1356,1450147555577409536,@ferd_trindade @Dc_da_depressao Realmente ia diminuir um pouco a bilheteria de The Batman. Mas o Hype pra esse film… https://t.co/W5G5qTpXrt,Guilher35241591,disney+,disney+,Twitter for Android,-0.683012,-1
4513,1451954748647776256,Agora o programa Tratamento de Choque está na Netflix. Eu adoro assistir isso no A&amp;E,millagrandinox,netflix,netflix,Twitter for Android,0.815457,1
7247,1449856022747693056,Muuuuito legal #BloodandWaterS2 na #netflix https://t.co/fFJ5rU551s,rorichter,netflix,netflix,Twitter for iPhone,0.9625459999999999,1
5459,1451008894508093440,"QUEM FEZ O JOSUKE NA PARTE 4???

FOI O YURI??? EU DESINSTALEI MINHA NETFLIX NO CELULAR",FoxyRArts,netflix,netflix,Twitter for Android,-0.811224,-1
3582,1450277489352265728,"@HBOMaxSuporte boa noite, por favor pode me ajudar? Eu tenho/tinha a assinatura do HBO Max na promoção de 50% de de… https://t.co/E5oP2k8nYP",brcamposarq,hbo max,hbomax,Twitter Web App,-0.526948,-1
5064,1451322225815179264,@chaseslau terceiro ano que lançam continuação desse filme daqui a vanessa ultrapassa a marca de hsm e fica marcada… https://t.co/UBTenSkTnx,itsfiorini,netflix,netflix,Twitter for iPhone,0.803237,1
1400,1450123685973659648,"POXA, DISNEY https://t.co/azr6EHTZXH",RenatoCordoni,disney+,disney+,Twitter Web App,-0.8258610000000001,-1
3916,1450506535923290112,ucl é na hbomax ou no star+ ? nao lembro 🙄🙄,FgaSpfc,hbomax,hbomax,Twitter Web App,-0.698258,-1
7226,1449869079112785920,"Ooh Netflix, Maid é muito muito boa!! Tão real!!",gabii_furtado,netflix,netflix,Twitter for iPhone,0.993324,1
4673,1451700215174639616,minha vida parece um filme (ruim) da Netflix,gabezzoca,netflix,netflix,Twitter for Android,-0.8965299999999999,-1
4634,1451728887994535936,Sextou com Netflix e meu doguinho. 😍😍,RenataRosaB,netflix,netflix,Twitter for Android,0.985066,1
2445,1451154957932060672,@cleytu @globoplay Eu tb 😂😂😂,CeciliadeCassi6,globoplay,globoplay,Twitter for iPhone,0.574633,1
4384,1452079817969524736,"Alguém já viu #Insiders na Netflix?? To gostando, mas me achando burra porque ainda não entendi se é um reality sho… https://t.co/wcj4gqOEhF",tah_viapiana,netflix,netflix,Twitter for iPhone,-0.9100360000000001,-1
2014,1451905191238848512,eu queria que a Agatha Moreira me desse um soco https://t.co/z0MDaooBZy,maycriada,globoplay,globoplay,Twitter Web App,-0.571146,-1
6224,1450578737276375040,alguém topa assistir cada um cmg e ir avaliando? netflix party vamos aí https://t.co/tULj9GRqKR,toocloseforbruh,netflix,netflix,Twitter for iPhone,0.681826,1
5909,1450832619223060480,nossa tô assistindo o pior filme da netflix,tajara_,netflix,netflix,Twitter for iPhone,-0.9365610000000001,-1
385,1451693885546172416,"@https_xovanna @ttdastephany_ @jaoromania KKKKKKK tão achando que tão na disney essas safadas, sou mais falida que vocês",anminyard,disney+,disney+,Twitter for Android,-0.757246,-1
7044,1449948578823249920,netflix libera logo os ep de casamento às cegasssss pelamor,maa_campregher,netflix,netflix,Twitter for iPhone,-0.7195590000000001,-1
7616,1449521237949140992,"@stesantos07 Com certeza é, mas mo solidão kkkkk netflix é minha companhia",LeonardoOlivxr,netflix,netflix,Twitter for iPhone,-0.707868,-1
1861,1452247081448509440,"@PaulinhaBraun @globoplay @brumelianebrum Lindas!
Paixão imediata.",regina_ferro,globoplay,globoplay,Twitter for Android,0.981469,1
7180,1449890112511348736,"nao

proxima

https://t.co/o64Jb9xkSj",lucaslte,netflix,netflix,Twitter Web App,-0.8408030000000001,-1
1157,1450437382583590912,"acordei, mas queria ter continuado dormindo pq tava sonhando q tava com o @Lucaszera00 na disney 🥲",oifrancine,disney+,disney+,Twitter for iPhone,-0.6812090000000001,-1
7078,1449927134340960256,Devo assistir série de terror na Netflix e ficar morrendo de medo por 3 anos? s ou n,ruaruacosta,netflix,netflix,Twitter for Android,-0.946305,-1
294,1452094035154415616,@xHopetrix Mas qual o argumento que eles utilizaram para chegar a essa conclusão? Sei que a Disney nunca ia se pron… https://t.co/pb376Brqrf,beta_fisk,disney+,disney+,Twitter Web App,-0.647728,-1
4171,1452342195390980096,Aconteceu o que eu nunca achei que aconteceria: meus pais trocando a TV aberta num domingo por reality na Netflix.… https://t.co/X7x0naR46m,hgrcrd,netflix,netflix,Twitter Web App,-0.8714879999999999,-1
5930,1450823096827617280,"Pra quem quiser fazer uma mini maratona dos longas da Chloé Zhao antes de Eternos:

- Songs My Brothers Taught Me:… https://t.co/KtGFdCeqCU",tiagocinefilo,netflix,netflix,Twitter for Android,0.738857,1
2563,1451019270444437504,"Ele já tá com ciúmes, ele
#VerdadeSecretas2 https://t.co/2QEaP1elrb",news_globoplay,globoplay,globoplay,Twitter for Android,-0.799289,-1
5320,1451186403694370816,"Na @folha desta quinta-feira: Questão de gosto: O sucesso de 'Round 6', a polêmica de 'Encerramento' e o lucro da N… https://t.co/J65ztS8fM7",mauriciostycer,netflix,netflix,Twitter Web App,0.544272,1
1061,1450580186320211968,"@imarcellysouza Tem um aplicativo de graça no play store que o nome dele é ""cine vision"" lá tem todos os filmes e a… https://t.co/2EUYjHqC7T",JosRodr73602293,disney+,disney+,Twitter for Android,0.648746,1
578,1451343275756032000,"Sabe pq eu vou cancelar o Disney plus esse mês? Pq o cinema voltou. E não, não me sinto seguro pra ir ao cinema ain… https://t.co/5teKhZpprW",BlackerLotusMTG,disney+,disney+,Twitter for Android,-0.9329,-1
4069,1449438750199721984,"Para alegria dos fãs, a terceira temporada de  Justiça jovem  já está disponível no HBO Max.

#geekrock #geek… https://t.co/IxKIxc4ilP",geekrockoficial,hbomax,hbomax,mLabs - Gestão de Redes Sociais,0.923275,1
6730,1450219375512985600,INSANO! Suspense Cômico com humor ácido está fazendo o maior SUCESSO na Netflix; Confira as reações! -… https://t.co/FiLhS4J5z2,cinepop,netflix,netflix,cinepop,0.781179,1
4858,1451545022076162048,@pzgttr obg mor vou fazer rodizio de netflix,sotbutch,netflix,netflix,Twitter for Android,0.979535,1
5777,1450869366044647424,YOU é a melhor série da Netflix,_santidadi,netflix,netflix,Twitter for iPhone,0.888581,1
6243,1450571601456607232,"A Netflix registrou lucro líquido de US$ 1,449 bilhão no terceiro trimestre de 2021, uma alta de 83,4% na comparaçã… https://t.co/kc4dMFoxPD",bmcnewstv,netflix,netflix,Twitter Web App,0.6310100000000001,1
4222,1452371821072986112,"Segundo site, a Netflix pagou R$ 110 milhões para adquirir Round 6, o maior sucesso do streaming até a atualidade.… https://t.co/X0kPhb3axS",rollingstoneBR,netflix,netflix,Twitter Web App,0.8508979999999999,1
359,1451868026211553280,O pinto suicida foi um dos melhores vídeos da minha quarentena obg Disney+ https://t.co/Ugybqzj4yL https://t.co/zjNV70rvta,quasesnoopy,disney+,disney+,Twitter for Android,0.658904,1
4293,1452264518910894080,"“Departamento de Conspirações”: 

Estreia na Netflix mais uma animação besteirol que vale a maratona. Do mesmo cria… https://t.co/MRBGw4KvLB",HQzonna,netflix,netflix,Twitter for iPhone,0.769161,1
