,created_at,favorite_count,followers_count,geo,id,id_str,in_reply_to_screen_name,language,name_at_tweet_time,retweet_count,screen_name,search_term,search_term_group,source,text,user_created_at,user_location,ibm_watson_sentiment,ibm_watson_sentiment_label
0,2021-10-25 00:03:39,0,251,,1183044906656419840,1452425586606026752,GFleao,pt,A REVOLUÇÃO DOS BICHOS 🐖🐷🐽🥓🐗 🇧🇷,0,GFleao,amazon prime,primevideo,Twitter for Android,"Série: Mr Robot, disponível na Amazon Prime",2019-10-12 15:41:52+00:00,"São Paulo, Brasil",0.0,neutral
1,2021-10-24 22:06:18,0,41,,1428141651688558596,1452396056264720384,tonindachapada,pt,Geisa Thais Oliveira,0,geythais_,amazon prime,primevideo,Twitter for iPhone,"@tonindachapada Estou assistindo um que se chama negra como q noite da Amazon prime. Lê a sinopse e se gostar assiste, estou gostando.",2021-08-18 23:48:06+00:00,"Santo André, Brasil",0.972507,positive
2,2021-10-24 19:04:38,0,251,,1183044906656419840,1452350337436819456,GFleao,pt,A REVOLUÇÃO DOS BICHOS 🐖🐷🐽🥓🐗 🇧🇷,0,GFleao,amazon prime,primevideo,Twitter for Android,"Série Mr Robot, disponível na Amazon Prime",2019-10-12 15:41:52+00:00,"São Paulo, Brasil",0.0,neutral
3,2021-10-24 18:44:57,0,238,,1253584273740902402,1452345383460409344,,pt,𝐂𝐎𝐖𝐁𝐎𝐘 𝐃𝐎 𝐀𝐒𝐅𝐀𝐋𝐓𝐎 ⚔️,0,preto_fugitivo,amazon prime,primevideo,Twitter for Android,"Jeff bezos é podre de rico e não investe  1 centavo pra organizar essa página inicial do Amazon prime, é mil título… https://t.co/xeYcX7fFLy",2020-04-24 07:19:23+00:00,"São Paulo, Brasil",-0.376178,negative
4,2021-10-24 18:38:31,0,1445,,15454050,1452343765092470784,ren4n,pt,Renan Martins Frade,0,ren4n,amazon prime,primevideo,Twitter for iPhone,"@douglasferraz Agora, eu tiro Prime Video dessas análises. Na prática, a plataforma é um bônus/isca pro Amazon Prim… https://t.co/XIIgyDmEEj",2008-07-16 13:24:10+00:00,"São Paulo, SP",0.916454,positive
5,2021-10-24 18:38:07,0,362,,3127260343,1452343662436827136,takegi__,pt,anedota 📖: ensaio sobre a cegueira,0,takegi__,amazon prime,primevideo,Twitter Web App,"agr eu to tipo ""??? sera se eu vou??"" pq tem na amazon prime... soo",2015-04-01 18:27:15+00:00,"São Paulo, Brasil",0.0,neutral
6,2021-10-24 18:23:50,0,251,,1183044906656419840,1452340069021495296,GFleao,pt,A REVOLUÇÃO DOS BICHOS 🐖🐷🐽🥓🐗 🇧🇷,0,GFleao,amazon prime,primevideo,Twitter for Android,"Série Mr. Robot, disponível na Amazon Prime",2019-10-12 15:41:52+00:00,"São Paulo, Brasil",0.0,neutral
7,2021-10-24 17:50:57,0,251,,1183044906656419840,1452331793202483200,GFleao,pt,A REVOLUÇÃO DOS BICHOS 🐖🐷🐽🥓🐗 🇧🇷,0,GFleao,amazon prime,primevideo,Twitter for Android,"Série Mr. Robot, disponível no Amazon Prime",2019-10-12 15:41:52+00:00,"São Paulo, Brasil",0.0,neutral
8,2021-10-24 17:39:04,3,294044,,24987280,1452328802303057920,thiagofbe,pt,Sombra Tricolor,0,SombraTricolor,amazon prime,primevideo,Twitter for iPhone,@thiagofbe Tem no Amazon Prime e Globoplay,2009-03-18 00:07:29+00:00,São Paulo-Brasil,0.0,neutral
9,2021-10-24 13:21:51,3,631,,3420032697,1452264072251166720,,pt,Petterson,0,limapetter,amazon prime,primevideo,Twitter for iPhone,O Eu Sei O Que Vocês Fizeram No Verão Passado da Amazon Prime Video é uma das piores séries do ano,2015-08-13 12:56:19+00:00,São Paulo,-0.74091,negative
10,2021-10-24 11:35:50,17,55870,,14500217,1452237392899887104,,pt,CinePOP,1,cinepop,amazon prime,primevideo,cinepop,'A Roda do Tempo': Vídeo promocional explora a jornada da Moiraine na ambiciosa série da Amazon Prime; Confira! -… https://t.co/1zm0F2USY1,2008-04-23 20:21:53+00:00,São Paulo,0.0,neutral
